x, y, yaw, fitVal
-26.536, 29.4501, -0.0327437, 485
-18.8305, 22.1583, -0.0202673, 741
-18.8305, 22.1583, -0.0202673, 741
-18.8305, 22.1583, -0.0202673, 741
-18.8305, 22.1583, -0.0202673, 741
-18.8305, 22.1583, -0.0202673, 741
-18.8305, 22.1583, -0.0202673, 741
-18.8305, 22.1583, -0.0202673, 741
-18.8305, 22.1583, -0.0202673, 741
-18.8305, 22.1583, -0.0202673, 741
-18.8305, 22.1583, -0.0202673, 741
-18.8305, 22.1583, -0.0202673, 741
-18.8305, 22.1583, -0.0202673, 741
-14.174, 17.6288, -0.0188622, 848
-8.00362, 6.63654, -0.00852543, 968
-8.00362, 6.63654, -0.00852543, 968
-8.00362, 6.63654, -0.00852543, 968
-8.00362, 6.63654, -0.00852543, 968
6.78425, -2.71178, 0.00312816, 1172
6.78425, -2.71178, 0.00312816, 1172
6.78425, -2.71178, 0.00312816, 1172
6.78425, -2.71178, 0.00312816, 1172
6.78425, -2.71178, 0.00312816, 1172
6.78425, -2.71178, 0.00312816, 1172
6.78425, -2.71178, 0.00312816, 1172
6.78425, -2.71178, 0.00312816, 1172
6.78425, -2.71178, 0.00312816, 1172
6.78425, -2.71178, 0.00312816, 1172
6.78425, -2.71178, 0.00312816, 1172
6.78425, -2.71178, 0.00312816, 1172
6.78425, -2.71178, 0.00312816, 1172
6.78425, -2.71178, 0.00312816, 1172
6.78425, -2.71178, 0.00312816, 1172
6.78425, -2.71178, 0.00312816, 1172
6.78425, -2.71178, 0.00312816, 1172
6.78425, -2.71178, 0.00312816, 1172
6.78425, -2.71178, 0.00312816, 1172
6.78425, -2.71178, 0.00312816, 1172
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
9.70062, -6.69655, 0.00835615, 1349
6.62291, -5.07512, 0.00663779, 1379
6.62291, -5.07512, 0.00663779, 1379
6.62291, -5.07512, 0.00663779, 1379
6.62291, -5.07512, 0.00663779, 1379
6.62291, -5.07512, 0.00663779, 1379
6.62291, -5.07512, 0.00663779, 1379
6.62291, -5.07512, 0.00663779, 1379
6.62291, -5.07512, 0.00663779, 1379
6.62291, -5.07512, 0.00663779, 1379
6.62291, -5.07512, 0.00663779, 1379
6.62291, -5.07512, 0.00663779, 1379
6.62291, -5.07512, 0.00663779, 1379
6.62291, -5.07512, 0.00663779, 1379
6.62291, -5.07512, 0.00663779, 1379
6.62291, -5.07512, 0.00663779, 1379
6.62291, -5.07512, 0.00663779, 1379
6.62291, -5.07512, 0.00663779, 1379
6.62291, -5.07512, 0.00663779, 1379
6.62291, -5.07512, 0.00663779, 1379
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
6.73187, -6.20824, 0.00600948, 1497
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
2.52848, -0.230396, 0.00108157, 1584
